metric,parameter_name,parameter_value,vp0_n,vp1_n,pf_n,vp0_mean,vp1_mean,pf_mean,vp0_std,vp1_std,pf_std,vp0_median,vp1_median,pf_median,levene_stat,levene_p,bartlett_stat,bartlett_p,anova_f_stat,anova_p_value,tukey_results,model,result_type
qwen3_06b_pp,n_prompt,112,5,5,5,67.47200000000001,67.50800000000001,67.524,0.008366600265345036,0.02167948338868006,0.018165902124584465,67.47,67.51,67.52,0.6046511627903517,0.5620930241219732,2.913559839816679,0.23298529944715343,12.229885057469513,0.001271170835026971,[],qwen3_06b,pp
qwen3_06b_pp,n_prompt,120,5,5,5,67.544,67.53800000000001,67.51199999999999,0.04037325847636977,0.021679483388677763,0.044384682042348106,67.56,67.55,67.53,0.8185654008441658,0.46424735677319723,1.8126041726475293,0.4040154794342208,1.066339066338997,0.37474915942835996,[],qwen3_06b,pp
qwen3_06b_pp,n_prompt,128,5,5,5,67.29,67.28599999999999,67.25,0.025495097567964427,0.019493588689616235,0.023452078799120056,67.3,67.28,67.24,0.08163265306124105,0.9221177841947661,0.26150982559972674,0.8774327955876744,4.607594936708799,0.03274959534935791,[],qwen3_06b,pp
qwen3_06b_pp,n_prompt,136,5,5,5,66.68,66.66,66.654,0.015811388300843245,0.029999999999997584,0.019493588689620978,66.68,66.65,66.66,0.16091954022975025,0.853167453818868,1.5811388756922014,0.4535864324474358,1.8169934640525482,0.20448855653261597,[],qwen3_06b,pp
qwen3_06b_pp,n_prompt,144,5,5,5,66.702,66.67000000000002,66.702,0.03420526275297336,0.014142135623728137,0.017888543819997542,66.71,66.67,66.7,1.341176470588233,0.2980667405705265,3.132781803409176,0.20879739445723783,3.029585798816727,0.08607965709316226,[],qwen3_06b,pp
qwen3_06b_pp,n_prompt,152,5,5,5,66.44599999999998,66.47200000000001,66.47,0.035777087639996666,0.047116875957558056,0.04301162633521531,66.45,66.49,66.49,0.054474708171230665,0.947215260615578,0.2732396537284728,0.8723017888088884,0.5869158878505998,0.5712349827098551,[],qwen3_06b,pp
qwen3_06b_pp,n_prompt,160,5,5,5,66.074,66.098,66.16,0.03911521443121284,0.024899799195978217,0.015811388300843245,66.08,66.1,66.16,0.725490196078409,0.5041547213170714,2.770674381776321,0.2502394071163368,12.308333333335154,0.0012388383385018892,[],qwen3_06b,pp
qwen3_06b_pp,n_prompt,168,5,5,5,66.094,66.122,66.132,0.03577708763999885,0.02588435821108689,0.045497252664309776,66.08,66.12,66.12,0.3854166666667729,0.688290940748488,1.094679803796805,0.5784865965706032,1.4477611940298032,0.27337137977085774,[],qwen3_06b,pp
qwen3_06b_tg,n_gen,32,10,10,10,27.514,27.863000000000007,27.689,0.23669952823498994,0.07149980574954173,0.27581998960674864,27.455,27.88,27.814999999999998,1.3975043090218147,0.2645290416455917,12.689907447598467,0.0017555839825948172,6.657481335125568,0.004462890992109603,[],qwen3_06b,tg
qwen3_06b_tg,n_gen,40,10,10,10,27.422999999999995,27.732,27.458000000000006,0.2259818085107241,0.07405703507732705,0.4307048486686291,27.325,27.725,27.630000000000003,2.293470153014926,0.12024271137759153,19.84205838463345,4.913056595467308e-05,3.548351411272734,0.04283449258006529,[],qwen3_06b,tg
qwen3_06b_tg,n_gen,48,10,10,10,27.491000000000003,27.683,27.452999999999996,0.2297559091248318,0.09393259994982218,0.29428066723981533,27.415,27.72,27.53,2.2965805353551016,0.11992347760120242,9.392149716649998,0.009131047508926017,3.0769392237857147,0.06254566497855167,[],qwen3_06b,tg
qwen3_06b_tg,n_gen,56,10,10,10,27.386000000000003,27.669999999999998,27.467000000000002,0.1790220346462665,0.07483314773547871,0.2719497502603496,27.36,27.71,27.575,2.988586566807432,0.0672248106171161,11.625982002147671,0.002988478150039065,5.7535666285031475,0.00829095923484693,[],qwen3_06b,tg
qwen3_06b_tg,n_gen,64,10,10,10,27.331,27.641000000000002,27.49,0.273676613704731,0.0811651266109885,0.23762715894162234,27.285,27.67,27.58,2.611593350007367,0.09186207128769014,10.719763996938374,0.004701460854430026,5.225752669985021,0.012066339910126666,[],qwen3_06b,tg
