vp0_mean,vp1_mean,pf_mean,grand_mean,all_std,vp0_n,vp1_n,pf_n,d_vp0_vp1,d_vp0_pf,d_vp1_pf,eta_squared,rel_diff_vp0_vs_vp1,rel_diff_vp0_vs_pf,rel_diff_vp1_vs_pf,max_relative_difference,average_absolute_difference,effect_size_interpretation,practical_impact,model,result_type,param_name,param_value
66.68,66.66,66.654,66.66466666666666,0.023864697976799007,5,5,5,0.8380579557073804,1.0894753424194754,0.251417386712095,0.17827042872859142,0.03000090002701616,0.039001170035116745,0.009000270008100584,0.039001170035116745,0.017333333333340306,"{'vp0_vs_vp1': '大效应 (d=0.8381) - 重要影响', 'vp0_vs_pf': '大效应 (d=1.0895) - 重要影响', 'vp1_vs_pf': '小效应 (d=0.2514) - 轻微影响', 'overall_eta_squared': '大效应 (η²=0.1783) - 重要影响'}",可忽略 - 差异小于0.1%，在噪声范围内,qwen3_06b,pp,n_prompt,136
66.702,66.67000000000002,66.702,66.69133333333335,0.026956755492206594,5,5,5,1.187086480390183,0.0,1.187086480390183,0.23847228691178296,0.04798224656874295,0.0,0.04798224656874295,0.04798224656874295,0.02133333333332151,"{'vp0_vs_vp1': '大效应 (d=1.1871) - 重要影响', 'vp0_vs_pf': '极小效应 (d=0.0000) - 可忽略不计', 'vp1_vs_pf': '大效应 (d=1.1871) - 重要影响', 'overall_eta_squared': '大效应 (η²=0.2385) - 重要影响'}",可忽略 - 差异小于0.1%，在噪声范围内,qwen3_06b,pp,n_prompt,144
66.44599999999998,66.47200000000001,66.47,66.46266666666666,0.04096456075799304,5,5,5,0.6346949538559749,0.5858722650976361,0.04882268875833871,0.07677797960050399,0.03911970630131904,0.03611049812428299,0.003009208177036055,0.03911970630131904,0.01733333333334978,"{'vp0_vs_vp1': '中等效应 (d=0.6347) - 实际影响', 'vp0_vs_pf': '中等效应 (d=0.5859) - 实际影响', 'vp1_vs_pf': '极小效应 (d=0.0488) - 可忽略不计', 'overall_eta_squared': '中等效应 (η²=0.0768) - 实际影响'}",可忽略 - 差异小于0.1%，在噪声范围内,qwen3_06b,pp,n_prompt,152
66.074,66.098,66.16,66.11066666666666,0.04574255078568554,5,5,5,0.5246755939004468,1.8800875448098309,1.355411950909384,0.38554621222007046,0.036302765060606826,0.13008490813383397,0.09378214307322714,0.13008490813383397,0.05733333333333235,"{'vp0_vs_vp1': '中等效应 (d=0.5247) - 实际影响', 'vp0_vs_pf': '大效应 (d=1.8801) - 重要影响', 'vp1_vs_pf': '大效应 (d=1.3554) - 重要影响', 'overall_eta_squared': '大效应 (η²=0.3855) - 重要影响'}",微小 - 差异小于0.5%，实际测试中难以感知,qwen3_06b,pp,n_prompt,160
66.094,66.122,66.132,66.116,0.037758631936476446,5,5,5,0.741552290536157,1.0063923942991508,0.2648401037629939,0.15356779373522667,0.04234980942586636,0.05747474136368037,0.015124931937814017,0.05747474136368037,0.025333333333340608,"{'vp0_vs_vp1': '中等效应 (d=0.7416) - 实际影响', 'vp0_vs_pf': '大效应 (d=1.0064) - 重要影响', 'vp1_vs_pf': '小效应 (d=0.2648) - 轻微影响', 'overall_eta_squared': '大效应 (η²=0.1536) - 重要影响'}",可忽略 - 差异小于0.1%，在噪声范围内,qwen3_06b,pp,n_prompt,168
27.514,27.863000000000007,27.689,27.68866666666667,0.2521594095331206,10,10,10,1.3840451191021959,0.6940054322145565,0.6900396868876395,0.2420018052535126,1.2604435027568701,0.6320275443623168,0.6284159583945533,1.2604435027568701,0.23266666666667155,"{'vp0_vs_vp1': '大效应 (d=1.3840) - 重要影响', 'vp0_vs_pf': '中等效应 (d=0.6940) - 实际影响', 'vp1_vs_pf': '中等效应 (d=0.6900) - 实际影响', 'overall_eta_squared': '大效应 (η²=0.2420) - 重要影响'}",中等 - 差异2%以内，在工程容差范围内,qwen3_06b,tg,n_gen,32
27.422999999999995,27.732,27.458000000000006,27.537666666666667,0.30800451556624175,10,10,10,1.0032320449326295,0.11363469764612408,0.8895973472865053,0.16749692050691609,1.1220994274509022,0.12709864064981588,0.9950007868010863,1.1220994274509022,0.20600000000000307,"{'vp0_vs_vp1': '大效应 (d=1.0032) - 重要影响', 'vp0_vs_pf': '极小效应 (d=0.1136) - 可忽略不计', 'vp1_vs_pf': '大效应 (d=0.8896) - 重要影响', 'overall_eta_squared': '大效应 (η²=0.1675) - 重要影响'}",中等 - 差异2%以内，在工程容差范围内,qwen3_06b,tg,n_gen,40
27.491000000000003,27.683,27.452999999999996,27.542333333333332,0.23765642156828773,10,10,10,0.8078889631216117,0.15989469061785277,0.9677836537394645,0.15213169878955396,0.6971086932842653,0.13796942887920666,0.8350781221634719,0.8350781221634719,0.15333333333333599,"{'vp0_vs_vp1': '大效应 (d=0.8079) - 重要影响', 'vp0_vs_pf': '极小效应 (d=0.1599) - 可忽略不计', 'vp1_vs_pf': '大效应 (d=0.9678) - 重要影响', 'overall_eta_squared': '大效应 (η²=0.1521) - 重要影响'}",轻微 - 差异小于1%，需要高精度测量才能检测,qwen3_06b,tg,n_gen,48
27.386000000000003,27.669999999999998,27.467000000000002,27.507666666666676,0.22225619472121358,10,10,10,1.2778046540220396,0.364444285126008,0.9133603688960316,0.22412666309766457,1.0324394411254874,0.29446336172945536,0.7379760793960318,1.0324394411254874,0.18933333333333024,"{'vp0_vs_vp1': '大效应 (d=1.2778) - 重要影响', 'vp0_vs_pf': '小效应 (d=0.3644) - 轻微影响', 'vp1_vs_pf': '大效应 (d=0.9134) - 重要影响', 'overall_eta_squared': '大效应 (η²=0.2241) - 重要影响'}",中等 - 差异2%以内，在工程容差范围内,qwen3_06b,tg,n_gen,56
27.331,27.641000000000002,27.49,27.487333333333332,0.2436919102605518,10,10,10,1.2720980342291826,0.6524631852981844,0.6196348489309981,0.21245297103931857,1.1277921951929457,0.5784482549537929,0.5493439402391527,1.1277921951929457,0.2066666666666682,"{'vp0_vs_vp1': '大效应 (d=1.2721) - 重要影响', 'vp0_vs_pf': '中等效应 (d=0.6525) - 实际影响', 'vp1_vs_pf': '中等效应 (d=0.6196) - 实际影响', 'overall_eta_squared': '大效应 (η²=0.2125) - 重要影响'}",中等 - 差异2%以内，在工程容差范围内,qwen3_06b,tg,n_gen,64
