suite_name,model_name,base_parameters,result_type,result_parameter,mean_value,std_value,cv_value,prompt_mode,n_prompt,n_gen
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 160, ""n_gen"": 56}",pp,160,71.02,0.01,0.014080540692762603,pf_file,160,56
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 160, ""n_gen"": 64}",pp,160,71.01,0.03,0.042247570764681025,pf_file,160,64
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 168, ""n_gen"": 32}",pp,168,71.01,0.03,0.042247570764681025,pf_file,168,32
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 168, ""n_gen"": 40}",pp,168,71.02,0.01,0.014080540692762603,pf_file,168,40
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 168, ""n_gen"": 48}",pp,168,70.98,0.01,0.014088475626937165,pf_file,168,48
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 168, ""n_gen"": 56}",pp,168,71.01,0.01,0.014082523588227008,pf_file,168,56
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 168, ""n_gen"": 64}",pp,168,70.99,0.02,0.028172982110156362,pf_file,168,64
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 96, ""n_gen"": 32}",pp,96,73.08,0.01,0.013683634373289547,pf_file,96,32
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 96, ""n_gen"": 40}",pp,96,73.08,0.02,0.027367268746579094,pf_file,96,40
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 96, ""n_gen"": 48}",pp,96,73.09,0.01,0.013681762210972774,pf_file,96,48
pn_grid_pf_file,hunyuan_05b,"{""threads"": 1, ""precision"": 2, ""kv_cache"": ""false"", ""mmap"": ""0"", ""dynamicOption"": 0, ""prompt_file"": ""/home/phyer/mnn-tst/mnn_llm_benchmark/test_prompt.txt"", ""n_prompt"": 96, ""n_gen"": 56}",pp,96,73.04,0.02,0.027382256297918947,pf_file,96,56
