prompt_length,mean_value,std_value,cv_value,model_name
96,27.78,0.11,0.3959683225341973,qwen2_5_0_5b
96,27.85,0.04,0.14362657091561937,qwen2_5_0_5b
96,27.73,0.03,0.10818608005769922,qwen2_5_0_5b
96,27.73,0.02,0.0721240533717995,qwen2_5_0_5b
96,27.86,0.02,0.07178750897343862,qwen2_5_0_5b
96,27.67,0.04,0.14456089627755692,qwen2_5_0_5b
96,41.91,0.03,0.07158196134574088,smolvlm2_256m
96,40.86,0.44,1.0768477728830153,smolvlm2_256m
96,42.24,0.08,0.1893939393939394,smolvlm2_256m
96,42.0,0.07,0.16666666666666669,smolvlm2_256m
96,41.83,0.08,0.19125029882859193,smolvlm2_256m
96,42.16,0.07,0.16603415559772297,smolvlm2_256m
96,41.94,0.09,0.2145922746781116,smolvlm2_256m
96,41.91,0.12,0.2863278453829635,smolvlm2_256m
96,42.43,0.12,0.28281876031110065,smolvlm2_256m
96,41.12,0.04,0.0972762645914397,smolvlm2_256m
96,41.92,0.11,0.26240458015267176,smolvlm2_256m
96,41.88,0.09,0.21489971346704867,smolvlm2_256m
96,41.56,0.31,0.7459095283926852,smolvlm2_256m
96,42.12,0.07,0.16619183285849953,smolvlm2_256m
96,42.17,0.02,0.04742708086317287,smolvlm2_256m
96,41.3,0.22,0.5326876513317192,smolvlm2_256m
